SampleID,sequencing_well,batch,project,field,sample_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,year_start,date,days,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_cu,extractable_co
2_demultiplex.bc1008--bc1096.hifi_reads,C5,1,sample,5RA.02,5RA.02.18,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1098.hifi_reads,C6,1,sample,5NQ.01,5NQ.01.05,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1100.hifi_reads,C7,1,sample,5NQ.01,5NQ.01.13,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1101.hifi_reads,C8,1,farmer_kit,FK.245,FK.245,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1105.hifi_reads,C9,1,sample,5LY.01,5LY.01.07,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1107.hifi_reads,C10,1,sample,5LY.01,5LY.01.15,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1110.hifi_reads,C11,1,sample,4EH.01,4EH.01.02,51.893792,-0.825926,24,6,2024,01/01/2024,24/06/2024,175,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,not_seen,Yes,Yes,No,No,No,Sulfur,No,No,No,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1008--bc1112.hifi_reads,C12,1,sample,4EH.01,4EH.01.10,51.893792,-0.825926,24,6,2024,01/01/2024,24/06/2024,175,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,not_seen,Yes,Yes,No,No,No,Sulfur,No,No,No,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1076.hifi_reads,D1,1,sample,6LP.01,6LP.01.08,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1082.hifi_reads,D2,1,sample,6LP.01,6LP.01.16,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1083.hifi_reads,D3,1,sample,5RA.02,5RA.02.03,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1089.hifi_reads,D4,1,sample,5RA.02,5RA.02.11,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1096.hifi_reads,D5,1,sample,5RA.02,5RA.02.19,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1098.hifi_reads,D6,1,sample,5NQ.01,5NQ.01.06,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1101.hifi_reads,D8,1,farmer_kit,FK.246,FK.246,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1105.hifi_reads,D9,1,sample,5LY.01,5LY.01.08,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1107.hifi_reads,D10,1,sample,5LY.01,5LY.01.16,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1110.hifi_reads,D11,1,sample,4EH.01,4EH.01.03,51.893792,-0.825926,24,6,2024,01/01/2024,24/06/2024,175,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,not_seen,Yes,Yes,No,No,No,Sulfur,No,No,No,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1012--bc1112.hifi_reads,D12,1,gt_control,S1,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1076.hifi_reads,E1,1,sample,6LP.01,6LP.01.09,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1082.hifi_reads,E2,1,sample,6LP.01,6LP.01.17,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1083.hifi_reads,E3,1,sample,5RA.02,5RA.02.04,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1089.hifi_reads,E4,1,sample,5RA.02,5RA.02.12,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1096.hifi_reads,E5,1,sample,5RA.02,5RA.02.20,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1098.hifi_reads,E6,1,sample,5NQ.01,5NQ.01.07,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1100.hifi_reads,E7,1,sample,5NQ.01,5NQ.01.15,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1101.hifi_reads,E8,1,sample,5LY.01,5LY.01.01,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1105.hifi_reads,E9,1,sample,5LY.01,5LY.01.09,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1107.hifi_reads,E10,1,sample,5LY.01,5LY.01.17,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1110.hifi_reads,E11,1,sample,4EH.01,4EH.01.04,51.893792,-0.825926,24,6,2024,01/01/2024,24/06/2024,175,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,not_seen,Yes,Yes,No,No,No,Sulfur,No,No,No,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1015--bc1112.hifi_reads,E12,1,gt_control,S2,S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1076.hifi_reads,F1,1,sample,6LP.01,6LP.01.10,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1082.hifi_reads,F2,1,sample,6LP.01,6LP.01.18,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1083.hifi_reads,F3,1,sample,5RA.02,5RA.02.05,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1089.hifi_reads,F4,1,sample,5RA.02,5RA.02.13,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1096.hifi_reads,F5,1,farmer_kit,FK.5RA.2.242,FK.5RA.2.242,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1098.hifi_reads,F6,1,sample,5NQ.01,5NQ.01.08,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1101.hifi_reads,F8,1,sample,5LY.01,5LY.01.02,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1105.hifi_reads,F9,1,sample,5LY.01,5LY.01.10,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1107.hifi_reads,F10,1,sample,5LY.01,5LY.01.18,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1110.hifi_reads,F11,1,sample,4EH.01,4EH.01.05,51.893792,-0.825926,24,6,2024,01/01/2024,24/06/2024,175,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,not_seen,Yes,Yes,No,No,No,Sulfur,No,No,No,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1020--bc1112.hifi_reads,F12,1,gt_control,S3,S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1076.hifi_reads,G1,1,sample,6LP.01,6LP.01.11,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1082.hifi_reads,G2,1,sample,6LP.01,6LP.01.19,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1083.hifi_reads,G3,1,sample,5RA.02,5RA.02.06,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1089.hifi_reads,G4,1,sample,5RA.02,5RA.02.14,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1096.hifi_reads,G5,1,sample,5NQ.01,5NQ.01.01,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1098.hifi_reads,G6,1,sample,5NQ.01,5NQ.01.09,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1100.hifi_reads,G7,1,sample,5NQ.01,5NQ.01.17,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1101.hifi_reads,G8,1,sample,5LY.01,5LY.01.03,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1105.hifi_reads,G9,1,sample,5LY.01,5LY.01.11,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1107.hifi_reads,G10,1,sample,5LY.01,5LY.01.19,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1022--bc1110.hifi_reads,G11,1,sample,4EH.01,4EH.01.06,51.893792,-0.825926,24,6,2024,01/01/2024,24/06/2024,175,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,not_seen,Yes,Yes,No,No,No,Sulfur,No,No,No,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1076.hifi_reads,H1,1,sample,6LP.01,6LP.01.12,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1082.hifi_reads,H2,1,sample,6LP.01,6LP.01.20,52.284838,-2.328044,26,6,2024,01/01/2024,26/06/2024,177,wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,No,Yes,No,Sulphur,No,No,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1083.hifi_reads,H3,1,sample,5RA.02,5RA.02.07,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1089.hifi_reads,H4,1,sample,5RA.02,5RA.02.15,50.798874,0.167721,10,7,2024,01/01/2024,10/07/2024,191,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1096.hifi_reads,H5,1,sample,5NQ.01,5NQ.01.02,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1098.hifi_reads,H6,1,sample,5NQ.01,5NQ.01.10,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1100.hifi_reads,H7,1,sample,5NQ.01,5NQ.01.18,52.865968,-2.79264,27,6,2024,01/01/2024,27/06/2024,178,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,not_seen,Yes,Yes,No,No,Yes,No,No,Yes,No,,,Yes,,,,Yes,,,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1101.hifi_reads,H8,1,sample,5LY.01,5LY.01.04,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
2_demultiplex.bc1024--bc1105.hifi_reads,H9,1,sample,5LY.01,5LY.01.12,53.21982,-0.14094,6,8,2024,01/01/2024,06/08/2024,218,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
